Sample Name	Protocol REF	Parameter Value[QA Instrument]	Parameter Value[QA Assay]	Parameter Value[QA Score]	Unit	Term Source REF	Term Accession Number	Extract Name	Protocol REF	Parameter Value[Library Layout]	Parameter Value[Stranded]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Base Caller]	Assay Name	Parameter Value[Nanopore Raw Data Files]	Raw Data File	Protocol REF	Parameter Value[Processed Data File Name (gene expression)]	Parameter Value[Processed Data File Name (RNA modifications)]	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
C001_whole-blood_L-92	Nucleic Acid Extraction - Nanopore long read RNA sequencing and bulkRNAseq	TapeStation	RNA ScreenTape	5.8	RIN	OSD	https://osdr.nasa.gov/	C001_whole-blood_L-92	Library Construction - Nanopore long read RNA sequencing	SINGLE	Unstranded	Nucleic Acid Sequencing - Nanopore long read RNA sequencing	PromethION	Guppy v6.2.1	nanoporeRNAseq	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C001_Lminus92_raw.blow5.zip	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C001_Lminus92_raw.fastq.gz	Sequence Analysis Data Transformation - Nanopore long read RNA sequencing	GLDS-561_nanoporeRNAseq_Direct_RNA_seq_Gene_Expression_Processed.xlsx	GLDS-561_directm6Aseq_Direct_RNA_seq_m6A_Processed_Data.xlsx	GeneLab raw data processing protocol - Nanopore long read RNA sequencing and bulkRNAseq	2208858	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.1	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-561_GnanoporeRNAseq_raw_multiqc_GLnanoporeRNAseq_report.zip
C002_whole-blood_L-92	Nucleic Acid Extraction - Nanopore long read RNA sequencing and bulkRNAseq	TapeStation	RNA ScreenTape	5.7	RIN	OSD	https://osdr.nasa.gov/	C002_whole-blood_L-92	Library Construction - Nanopore long read RNA sequencing	SINGLE	Unstranded	Nucleic Acid Sequencing - Nanopore long read RNA sequencing	PromethION	Guppy v6.2.1	nanoporeRNAseq	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C002_Lminus92_raw.blow5.zip	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C002_Lminus92_raw.fastq.gz	Sequence Analysis Data Transformation - Nanopore long read RNA sequencing	GLDS-561_nanoporeRNAseq_Direct_RNA_seq_Gene_Expression_Processed.xlsx	GLDS-561_directm6Aseq_Direct_RNA_seq_m6A_Processed_Data.xlsx	GeneLab raw data processing protocol - Nanopore long read RNA sequencing and bulkRNAseq	4206285	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.06	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-561_GnanoporeRNAseq_raw_multiqc_GLnanoporeRNAseq_report.zip
C003_whole-blood_L-92	Nucleic Acid Extraction - Nanopore long read RNA sequencing and bulkRNAseq	TapeStation	RNA ScreenTape	5.7	RIN	OSD	https://osdr.nasa.gov/	C003_whole-blood_L-92	Library Construction - Nanopore long read RNA sequencing	SINGLE	Unstranded	Nucleic Acid Sequencing - Nanopore long read RNA sequencing	PromethION	Guppy v6.2.1	nanoporeRNAseq	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C003_Lminus92_raw.blow5.zip	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C003_Lminus92_raw.fastq.gz	Sequence Analysis Data Transformation - Nanopore long read RNA sequencing	GLDS-561_nanoporeRNAseq_Direct_RNA_seq_Gene_Expression_Processed.xlsx	GLDS-561_directm6Aseq_Direct_RNA_seq_m6A_Processed_Data.xlsx	GeneLab raw data processing protocol - Nanopore long read RNA sequencing and bulkRNAseq	2959327	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.06	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-561_GnanoporeRNAseq_raw_multiqc_GLnanoporeRNAseq_report.zip
C004_whole-blood_L-92	Nucleic Acid Extraction - Nanopore long read RNA sequencing and bulkRNAseq	TapeStation	RNA ScreenTape	5.8	RIN	OSD	https://osdr.nasa.gov/	C004_whole-blood_L-92	Library Construction - Nanopore long read RNA sequencing	SINGLE	Unstranded	Nucleic Acid Sequencing - Nanopore long read RNA sequencing	PromethION	Guppy v6.2.1	nanoporeRNAseq	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C004_Lminus92_raw.blow5.zip	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C004_Lminus92_raw.fastq.gz	Sequence Analysis Data Transformation - Nanopore long read RNA sequencing	GLDS-561_nanoporeRNAseq_Direct_RNA_seq_Gene_Expression_Processed.xlsx	GLDS-561_directm6Aseq_Direct_RNA_seq_m6A_Processed_Data.xlsx	GeneLab raw data processing protocol - Nanopore long read RNA sequencing and bulkRNAseq	3560478	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.06	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-561_GnanoporeRNAseq_raw_multiqc_GLnanoporeRNAseq_report.zip
C001_whole-blood_L-44	Nucleic Acid Extraction - Nanopore long read RNA sequencing and bulkRNAseq	TapeStation	RNA ScreenTape	8.1	RIN	OSD	https://osdr.nasa.gov/	C001_whole-blood_L-44	Library Construction - Nanopore long read RNA sequencing	SINGLE	Unstranded	Nucleic Acid Sequencing - Nanopore long read RNA sequencing	PromethION	Guppy v6.2.1	nanoporeRNAseq	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C001_Lminus44_raw.blow5.zip	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C001_Lminus44_raw.fastq.gz	Sequence Analysis Data Transformation - Nanopore long read RNA sequencing	GLDS-561_nanoporeRNAseq_Direct_RNA_seq_Gene_Expression_Processed.xlsx	GLDS-561_directm6Aseq_Direct_RNA_seq_m6A_Processed_Data.xlsx	GeneLab raw data processing protocol - Nanopore long read RNA sequencing and bulkRNAseq	2085897	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.12	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-561_GnanoporeRNAseq_raw_multiqc_GLnanoporeRNAseq_report.zip
C002_whole-blood_L-44	Nucleic Acid Extraction - Nanopore long read RNA sequencing and bulkRNAseq	TapeStation	RNA ScreenTape	8.2	RIN	OSD	https://osdr.nasa.gov/	C002_whole-blood_L-44	Library Construction - Nanopore long read RNA sequencing	SINGLE	Unstranded	Nucleic Acid Sequencing - Nanopore long read RNA sequencing	PromethION	Guppy v6.2.1	nanoporeRNAseq	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C002_Lminus44_raw.blow5.zip	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C002_Lminus44_raw.fastq.gz	Sequence Analysis Data Transformation - Nanopore long read RNA sequencing	GLDS-561_nanoporeRNAseq_Direct_RNA_seq_Gene_Expression_Processed.xlsx	GLDS-561_directm6Aseq_Direct_RNA_seq_m6A_Processed_Data.xlsx	GeneLab raw data processing protocol - Nanopore long read RNA sequencing and bulkRNAseq	1754628	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.08	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-561_GnanoporeRNAseq_raw_multiqc_GLnanoporeRNAseq_report.zip
C003_whole-blood_L-44	Nucleic Acid Extraction - Nanopore long read RNA sequencing and bulkRNAseq	TapeStation	RNA ScreenTape	8.1	RIN	OSD	https://osdr.nasa.gov/	C003_whole-blood_L-44	Library Construction - Nanopore long read RNA sequencing	SINGLE	Unstranded	Nucleic Acid Sequencing - Nanopore long read RNA sequencing	PromethION	Guppy v6.2.1	nanoporeRNAseq	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C003_Lminus44_raw.blow5.zip	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C003_Lminus44_raw.fastq.gz	Sequence Analysis Data Transformation - Nanopore long read RNA sequencing	GLDS-561_nanoporeRNAseq_Direct_RNA_seq_Gene_Expression_Processed.xlsx	GLDS-561_directm6Aseq_Direct_RNA_seq_m6A_Processed_Data.xlsx	GeneLab raw data processing protocol - Nanopore long read RNA sequencing and bulkRNAseq	1393626	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.09	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-561_GnanoporeRNAseq_raw_multiqc_GLnanoporeRNAseq_report.zip
C004_whole-blood_L-44	Nucleic Acid Extraction - Nanopore long read RNA sequencing and bulkRNAseq	TapeStation	RNA ScreenTape	7.8	RIN	OSD	https://osdr.nasa.gov/	C004_whole-blood_L-44	Library Construction - Nanopore long read RNA sequencing	SINGLE	Unstranded	Nucleic Acid Sequencing - Nanopore long read RNA sequencing	PromethION	Guppy v6.2.1	nanoporeRNAseq	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C004_Lminus44_raw.blow5.zip	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C004_Lminus44_raw.fastq.gz	Sequence Analysis Data Transformation - Nanopore long read RNA sequencing	GLDS-561_nanoporeRNAseq_Direct_RNA_seq_Gene_Expression_Processed.xlsx	GLDS-561_directm6Aseq_Direct_RNA_seq_m6A_Processed_Data.xlsx	GeneLab raw data processing protocol - Nanopore long read RNA sequencing and bulkRNAseq	2662175	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.06	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-561_GnanoporeRNAseq_raw_multiqc_GLnanoporeRNAseq_report.zip
C001_whole-blood_L-3	Nucleic Acid Extraction - Nanopore long read RNA sequencing and bulkRNAseq	TapeStation	RNA ScreenTape	7.6	RIN	OSD	https://osdr.nasa.gov/	C001_whole-blood_L-3	Library Construction - Nanopore long read RNA sequencing	SINGLE	Unstranded	Nucleic Acid Sequencing - Nanopore long read RNA sequencing	PromethION	Guppy v6.2.1	nanoporeRNAseq	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C001_Lminus3_raw.blow5.zip	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C001_Lminus3_raw.fastq.gz	Sequence Analysis Data Transformation - Nanopore long read RNA sequencing	GLDS-561_nanoporeRNAseq_Direct_RNA_seq_Gene_Expression_Processed.xlsx	GLDS-561_directm6Aseq_Direct_RNA_seq_m6A_Processed_Data.xlsx	GeneLab raw data processing protocol - Nanopore long read RNA sequencing and bulkRNAseq	2062576	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.05	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-561_GnanoporeRNAseq_raw_multiqc_GLnanoporeRNAseq_report.zip
C002_whole-blood_L-3	Nucleic Acid Extraction - Nanopore long read RNA sequencing and bulkRNAseq	TapeStation	RNA ScreenTape	7.8	RIN	OSD	https://osdr.nasa.gov/	C002_whole-blood_L-3	Library Construction - Nanopore long read RNA sequencing	SINGLE	Unstranded	Nucleic Acid Sequencing - Nanopore long read RNA sequencing	PromethION	Guppy v6.2.1	nanoporeRNAseq	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C002_Lminus3_raw.blow5.zip	GLDS-561_nanoporeRNAseq_DirectRNA_I4_C002_Lminus3_raw.fastq.gz	Sequence Analysis Data Transformation - Nanopore long read RNA sequencing	GLDS-561_nanoporeRNAseq_Direct_RNA_seq_Gene_Expression_Processed.xlsx	GLDS-561_directm6Aseq_Direct_RNA_seq_m6A_Processed_Data.xlsx	GeneLab raw data processing protocol - Nanopore long read RNA sequencing and bulkRNAseq	7079574	read	SO	http://purl.obolibrary.org/obo/SO_0000150	0.03	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-561_GnanoporeRNAseq_raw_multiqc_GLnanoporeRNAseq_report.zip
