Sample Name	Protocol REF	Extract Name	Protocol REF	Parameter Value[Library QA Instrument]	Parameter Value[Library Selection]	Parameter Value[Stranded]	Parameter Value[Library Layout]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Human Reads Removed]	Unit	Term Source REF	Term Accession Number	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[MultiQC File Names]
I4_Capsule_FD2_0	Nucleic Acid Extraction	I4_Capsule_FD2_0	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_0_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_0_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	25.21	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	17650733	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
I4_Capsule_FD2_1	Nucleic Acid Extraction	I4_Capsule_FD2_1	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_1_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_1_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	22.07	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	17175491	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
I4_Capsule_FD2_2	Nucleic Acid Extraction	I4_Capsule_FD2_2	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_2_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_2_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	25.19	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	16262804	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
I4_Capsule_FD2_3	Nucleic Acid Extraction	I4_Capsule_FD2_3	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_3_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_3_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	32.99	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	13665449	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
I4_Capsule_FD2_4	Nucleic Acid Extraction	I4_Capsule_FD2_4	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_4_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_4_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	18.92	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	21056368	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
I4_Capsule_FD2_5	Nucleic Acid Extraction	I4_Capsule_FD2_5	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_5_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_5_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	16.61	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	22935723	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
I4_Capsule_FD2_6	Nucleic Acid Extraction	I4_Capsule_FD2_6	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_6_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_6_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	18.97	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	20519694	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
I4_Capsule_FD2_7	Nucleic Acid Extraction	I4_Capsule_FD2_7	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_7_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_7_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	35.13	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	22638116	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
I4_Capsule_FD2_8	Nucleic Acid Extraction	I4_Capsule_FD2_8	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_8_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_8_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	21.54	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	17945066	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
I4_Capsule_FD2_9	Nucleic Acid Extraction	I4_Capsule_FD2_9	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_9_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD2_9_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	31.36	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	23049467	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
I4_Capsule_FD3_0	Nucleic Acid Extraction	I4_Capsule_FD3_0	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_0_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_0_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	18.13	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	20593935	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
I4_Capsule_FD3_1	Nucleic Acid Extraction	I4_Capsule_FD3_1	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_1_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_1_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	15.19	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	20839965	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
I4_Capsule_FD3_2	Nucleic Acid Extraction	I4_Capsule_FD3_2	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_2_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_2_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	35.87	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	18785923	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
I4_Capsule_FD3_3	Nucleic Acid Extraction	I4_Capsule_FD3_3	Library Construction - Metatranscriptomics	LabChip GX Touch HT Nucleic Acid Analyzer	ribo-depletion	STRANDED	PAIRED	Nucleic Acid Sequencing - Metatranscriptomics	Illumina NovaSeq 6000	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3_R1_HRremoved_raw.fastq.gz,GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	14.96	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	19873313	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - Metatranscriptomics	GLDS-565_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
