Sample Name	Protocol REF	Parameter Value[Sample Type]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Cell Count]	Parameter Value[Library Selection]	Term Source REF	Term Accession Number	Parameter Value[Library Layout]	Term Source REF	Term Accession Number	Parameter Value[Library QA Instrument]	Term Source REF	Term Accession Number	Parameter Value[Library QA Assay]	Term Source REF	Term Accession Number	Parameter Value[Average Fragment Size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Library Kit]	Parameter Value[Library Type]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sequencing Instrument]	Term Source REF	Term Accession Number	Parameter Value[Base Caller]	Term Source REF	Term Accession Number	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Processed Data Files]	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
C001_PBMC_L-3	Cell Isolation	single cell	OSD	https://osdr.nasa.gov/	Library Construction - single-cell immune profiling	686				Paired			Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	732	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell 5’ Reagent Kits v2	BCR	OSD	https://osdr.nasa.gov/	Nucleic Acid Sequencing - single-cell immune profiling	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	bcl2fastq			151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNAseq	GLDS-562_scRNA-Seq_scBCR_I4_C001_L-3_R1_raw.fastq.gz,GLDS-562_scRNA-Seq_scBCR_I4_C001_L-3_R2_raw.fastq.gz	Data Analysis - single-cell immune profiling	GLDS-562_scRNA-Seq_VDJ_Results.xlsx	GeneLab raw data processing protocol - single-cell immune profiling	51514692	read	SO	http://purl.obolibrary.org/obo/SO_0000150	12.17	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_scRNA_Seq_raw_multiqc_GLscRNAseq_BCR_report.zip
C001_PBMC_R+1	Cell Isolation	single cell	OSD	https://osdr.nasa.gov/	Library Construction - single-cell immune profiling	4936				Paired			Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	684	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell 5’ Reagent Kits v2	BCR	OSD	https://osdr.nasa.gov/	Nucleic Acid Sequencing - single-cell immune profiling	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	bcl2fastq			151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNAseq	GLDS-562_scRNA-Seq_scBCR_I4_C001_R+1_R1_raw.fastq.gz,GLDS-562_scRNA-Seq_scBCR_I4_C001_R+1_R2_raw.fastq.gz	Data Analysis - single-cell immune profiling	GLDS-562_scRNA-Seq_VDJ_Results.xlsx	GeneLab raw data processing protocol - single-cell immune profiling	71741337	read	SO	http://purl.obolibrary.org/obo/SO_0000150	24.33	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_scRNA_Seq_raw_multiqc_GLscRNAseq_BCR_report.zip
C001_PBMC_R+45	Cell Isolation	single cell	OSD	https://osdr.nasa.gov/	Library Construction - single-cell immune profiling	1105				Paired			Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	724	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell 5’ Reagent Kits v2	BCR	OSD	https://osdr.nasa.gov/	Nucleic Acid Sequencing - single-cell immune profiling	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	bcl2fastq			151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNAseq	GLDS-562_scRNA-Seq_scBCR_I4_C001_R+45_R1_raw.fastq.gz,GLDS-562_scRNA-Seq_scBCR_I4_C001_R+45_R2_raw.fastq.gz	Data Analysis - single-cell immune profiling	GLDS-562_scRNA-Seq_VDJ_Results.xlsx	GeneLab raw data processing protocol - single-cell immune profiling	61919866	read	SO	http://purl.obolibrary.org/obo/SO_0000150	14.95	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_scRNA_Seq_raw_multiqc_GLscRNAseq_BCR_report.zip
C001_PBMC_R+82	Cell Isolation	single cell	OSD	https://osdr.nasa.gov/	Library Construction - single-cell immune profiling	1498				Paired			Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	718	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell 5’ Reagent Kits v2	BCR	OSD	https://osdr.nasa.gov/	Nucleic Acid Sequencing - single-cell immune profiling	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	bcl2fastq			151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNAseq	GLDS-562_scRNA-Seq_scBCR_I4_C001_R+82_R1_raw.fastq.gz,GLDS-562_scRNA-Seq_scBCR_I4_C001_R+82_R2_raw.fastq.gz	Data Analysis - single-cell immune profiling	GLDS-562_scRNA-Seq_VDJ_Results.xlsx	GeneLab raw data processing protocol - single-cell immune profiling	62528724	read	SO	http://purl.obolibrary.org/obo/SO_0000150	25.68	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_scRNA_Seq_raw_multiqc_GLscRNAseq_BCR_report.zip
C002_PBMC_L-3	Cell Isolation	single cell	OSD	https://osdr.nasa.gov/	Library Construction - single-cell immune profiling	583				Paired			Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	726	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell 5’ Reagent Kits v2	BCR	OSD	https://osdr.nasa.gov/	Nucleic Acid Sequencing - single-cell immune profiling	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	bcl2fastq			151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNAseq	GLDS-562_scRNA-Seq_scBCR_I4_C002_L-3_R1_raw.fastq.gz,GLDS-562_scRNA-Seq_scBCR_I4_C002_L-3_R2_raw.fastq.gz	Data Analysis - single-cell immune profiling	GLDS-562_scRNA-Seq_VDJ_Results.xlsx	GeneLab raw data processing protocol - single-cell immune profiling	69771061	read	SO	http://purl.obolibrary.org/obo/SO_0000150	19.71	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_scRNA_Seq_raw_multiqc_GLscRNAseq_BCR_report.zip
C002_PBMC_R+1	Cell Isolation	single cell	OSD	https://osdr.nasa.gov/	Library Construction - single-cell immune profiling	4590				Paired			Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	644	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell 5’ Reagent Kits v2	BCR	OSD	https://osdr.nasa.gov/	Nucleic Acid Sequencing - single-cell immune profiling	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	bcl2fastq			151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNAseq	GLDS-562_scRNA-Seq_scBCR_I4_C002_R+1_R1_raw.fastq.gz,GLDS-562_scRNA-Seq_scBCR_I4_C002_R+1_R2_raw.fastq.gz	Data Analysis - single-cell immune profiling	GLDS-562_scRNA-Seq_VDJ_Results.xlsx	GeneLab raw data processing protocol - single-cell immune profiling	130285585	read	SO	http://purl.obolibrary.org/obo/SO_0000150	15.14	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_scRNA_Seq_raw_multiqc_GLscRNAseq_BCR_report.zip
C002_PBMC_R+45	Cell Isolation	single cell	OSD	https://osdr.nasa.gov/	Library Construction - single-cell immune profiling	1894				Paired			Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	707	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell 5’ Reagent Kits v2	BCR	OSD	https://osdr.nasa.gov/	Nucleic Acid Sequencing - single-cell immune profiling	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	bcl2fastq			151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNAseq	GLDS-562_scRNA-Seq_scBCR_I4_C002_R+45_R1_raw.fastq.gz,GLDS-562_scRNA-Seq_scBCR_I4_C002_R+45_R2_raw.fastq.gz	Data Analysis - single-cell immune profiling	GLDS-562_scRNA-Seq_VDJ_Results.xlsx	GeneLab raw data processing protocol - single-cell immune profiling	68264043	read	SO	http://purl.obolibrary.org/obo/SO_0000150	22.14	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_scRNA_Seq_raw_multiqc_GLscRNAseq_BCR_report.zip
C002_PBMC_R+82	Cell Isolation	single cell	OSD	https://osdr.nasa.gov/	Library Construction - single-cell immune profiling	1321				Paired			Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	732	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell 5’ Reagent Kits v2	BCR	OSD	https://osdr.nasa.gov/	Nucleic Acid Sequencing - single-cell immune profiling	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	bcl2fastq			151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNAseq	GLDS-562_scRNA-Seq_scBCR_I4_C002_R+82_R1_raw.fastq.gz,GLDS-562_scRNA-Seq_scBCR_I4_C002_R+82_R2_raw.fastq.gz	Data Analysis - single-cell immune profiling	GLDS-562_scRNA-Seq_VDJ_Results.xlsx	GeneLab raw data processing protocol - single-cell immune profiling	73062868	read	SO	http://purl.obolibrary.org/obo/SO_0000150	22.58	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_scRNA_Seq_raw_multiqc_GLscRNAseq_BCR_report.zip
C003_PBMC_L-3	Cell Isolation	single cell	OSD	https://osdr.nasa.gov/	Library Construction - single-cell immune profiling	83				Paired			Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	997	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell 5’ Reagent Kits v2	BCR	OSD	https://osdr.nasa.gov/	Nucleic Acid Sequencing - single-cell immune profiling	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	bcl2fastq			151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNAseq	GLDS-562_scRNA-Seq_scBCR_I4_C003_L-3_R1_raw.fastq.gz,GLDS-562_scRNA-Seq_scBCR_I4_C003_L-3_R2_raw.fastq.gz	Data Analysis - single-cell immune profiling	GLDS-562_scRNA-Seq_VDJ_Results.xlsx	GeneLab raw data processing protocol - single-cell immune profiling	70152122	read	SO	http://purl.obolibrary.org/obo/SO_0000150	20.02	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_scRNA_Seq_raw_multiqc_GLscRNAseq_BCR_report.zip
C003_PBMC_R+1	Cell Isolation	single cell	OSD	https://osdr.nasa.gov/	Library Construction - single-cell immune profiling	3983				Paired			Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	675	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell 5’ Reagent Kits v2	BCR	OSD	https://osdr.nasa.gov/	Nucleic Acid Sequencing - single-cell immune profiling	Illumina NovaSeq 6000	OSD	https://osdr.nasa.gov/	bcl2fastq			151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNAseq	GLDS-562_scRNA-Seq_scBCR_I4_C003_R+1_R1_raw.fastq.gz,GLDS-562_scRNA-Seq_scBCR_I4_C003_R+1_R2_raw.fastq.gz	Data Analysis - single-cell immune profiling	GLDS-562_scRNA-Seq_VDJ_Results.xlsx	GeneLab raw data processing protocol - single-cell immune profiling	169391939	read	SO	http://purl.obolibrary.org/obo/SO_0000150	16.77	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_scRNA_Seq_raw_multiqc_GLscRNAseq_BCR_report.zip
