Sample Name	Protocol REF	Protocol REF	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Stranded]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Parameter Value[Base Caller]	Assay Name	Raw Data File	Protocol REF	Parameter Value[ROI Image File Names]	Parameter Value[Slide Image File Names]	Comment[GeoMx Processing Batch]	Protocol REF	Parameter Value[Processed Data File Names]	Protocol REF	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
NTC_Batch1	Cryosection	Nucleic Acid Extraction - Spatial Transcriptomics	Library Construction - Spatial Transcriptomics	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing - Spatial Transcriptomics	Illumin NovaSeq 6000	27	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	spatial transcriptomics	GLDS-566_SpatialTranscriptomics_SpatialT_I4_NTC_NTC_NTC_S1_R1_raw.fastq.gz,GLDS-566_SpatialTranscriptomics_SpatialT_I4_NTC_NTC_NTC_S1_R2_raw.fastq.gz	Imaging Protocol	Not Applicable	Not Applicable	batch 1	Sequence Analysis Data Transformation - Spatial Transcriptomics	GLDS-566_SpatialTranscriptomics_Skin_Biopsy_Spatially_Resolved_Transcriptomics_Processed_Data.xlsx	GeneLab raw data processing protocol - Spatial Transcriptomics	0.31	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	1083570	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-566_GSpatialTranscriptomics_raw_multiqc_GLSpatialTranscriptomics_report.zip
C001_SKN_L-44_OE_rep1	Cryosection	Nucleic Acid Extraction - Spatial Transcriptomics	Library Construction - Spatial Transcriptomics	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing - Spatial Transcriptomics	Illumin NovaSeq 6000	27	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	spatial transcriptomics	GLDS-566_SpatialTranscriptomics_SpatialT_I4_C001_L-44_OE_S2_R1_raw.fastq.gz,GLDS-566_SpatialTranscriptomics_SpatialT_I4_C001_L-44_OE_S2_R2_raw.fastq.gz	Imaging Protocol	GLDS-566_SpatialTranscriptomics_C001_L-44_OE_rep1.tiff	GLDS-566_SpatialTranscriptomics_C001_Slide1.tiff	batch 1	Sequence Analysis Data Transformation - Spatial Transcriptomics	GLDS-566_SpatialTranscriptomics_Skin_Biopsy_Spatially_Resolved_Transcriptomics_Processed_Data.xlsx	GeneLab raw data processing protocol - Spatial Transcriptomics	0.07	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	10367784	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-566_GSpatialTranscriptomics_raw_multiqc_GLSpatialTranscriptomics_report.zip
C001_SKN_L-44_IE_rep1	Cryosection	Nucleic Acid Extraction - Spatial Transcriptomics	Library Construction - Spatial Transcriptomics	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing - Spatial Transcriptomics	Illumin NovaSeq 6000	27	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	spatial transcriptomics	GLDS-566_SpatialTranscriptomics_SpatialT_I4_C001_L-44_IE_S3_R1_raw.fastq.gz,GLDS-566_SpatialTranscriptomics_SpatialT_I4_C001_L-44_IE_S3_R2_raw.fastq.gz	Imaging Protocol	GLDS-566_SpatialTranscriptomics_C001_L-44_IE_rep1.tiff	GLDS-566_SpatialTranscriptomics_C001_Slide1.tiff	batch 1	Sequence Analysis Data Transformation - Spatial Transcriptomics	GLDS-566_SpatialTranscriptomics_Skin_Biopsy_Spatially_Resolved_Transcriptomics_Processed_Data.xlsx	GeneLab raw data processing protocol - Spatial Transcriptomics	0.07	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	14940303	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-566_GSpatialTranscriptomics_raw_multiqc_GLSpatialTranscriptomics_report.zip
C001_SKN_L-44_OD_rep1	Cryosection	Nucleic Acid Extraction - Spatial Transcriptomics	Library Construction - Spatial Transcriptomics	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing - Spatial Transcriptomics	Illumin NovaSeq 6000	27	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	spatial transcriptomics	GLDS-566_SpatialTranscriptomics_SpatialT_I4_C001_L-44_OD_S4_R1_raw.fastq.gz,GLDS-566_SpatialTranscriptomics_SpatialT_I4_C001_L-44_OD_S4_R2_raw.fastq.gz	Imaging Protocol	GLDS-566_SpatialTranscriptomics_C001_L-44_OD_rep1.tiff	GLDS-566_SpatialTranscriptomics_C001_Slide1.tiff	batch 1	Sequence Analysis Data Transformation - Spatial Transcriptomics	GLDS-566_SpatialTranscriptomics_Skin_Biopsy_Spatially_Resolved_Transcriptomics_Processed_Data.xlsx	GeneLab raw data processing protocol - Spatial Transcriptomics	0.08	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	28907329	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-566_GSpatialTranscriptomics_raw_multiqc_GLSpatialTranscriptomics_report.zip
C001_SKN_L-44_OE_rep2	Cryosection	Nucleic Acid Extraction - Spatial Transcriptomics	Library Construction - Spatial Transcriptomics	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing - Spatial Transcriptomics	Illumin NovaSeq 6000	27	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	spatial transcriptomics	GLDS-566_SpatialTranscriptomics_SpatialT_I4_C001_L-44_OE_S5_R1_raw.fastq.gz,GLDS-566_SpatialTranscriptomics_SpatialT_I4_C001_L-44_OE_S5_R2_raw.fastq.gz	Imaging Protocol	GLDS-566_SpatialTranscriptomics_C001_L-44_OE_rep2.tiff	GLDS-566_SpatialTranscriptomics_C001_Slide1.tiff	batch 1	Sequence Analysis Data Transformation - Spatial Transcriptomics	GLDS-566_SpatialTranscriptomics_Skin_Biopsy_Spatially_Resolved_Transcriptomics_Processed_Data.xlsx	GeneLab raw data processing protocol - Spatial Transcriptomics	0.09	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	16844181	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-566_GSpatialTranscriptomics_raw_multiqc_GLSpatialTranscriptomics_report.zip
C001_SKN_L-44_IE_rep2	Cryosection	Nucleic Acid Extraction - Spatial Transcriptomics	Library Construction - Spatial Transcriptomics	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing - Spatial Transcriptomics	Illumin NovaSeq 6000	27	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	spatial transcriptomics	GLDS-566_SpatialTranscriptomics_SpatialT_I4_C001_L-44_IE_S6_R1_raw.fastq.gz,GLDS-566_SpatialTranscriptomics_SpatialT_I4_C001_L-44_IE_S6_R2_raw.fastq.gz	Imaging Protocol	GLDS-566_SpatialTranscriptomics_C001_L-44_IE_rep2.tiff	GLDS-566_SpatialTranscriptomics_C001_Slide1.tiff	batch 1	Sequence Analysis Data Transformation - Spatial Transcriptomics	GLDS-566_SpatialTranscriptomics_Skin_Biopsy_Spatially_Resolved_Transcriptomics_Processed_Data.xlsx	GeneLab raw data processing protocol - Spatial Transcriptomics	0.07	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	23558611	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-566_GSpatialTranscriptomics_raw_multiqc_GLSpatialTranscriptomics_report.zip
C001_SKN_L-44_VA_rep1	Cryosection	Nucleic Acid Extraction - Spatial Transcriptomics	Library Construction - Spatial Transcriptomics	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing - Spatial Transcriptomics	Illumin NovaSeq 6000	27	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	spatial transcriptomics	GLDS-566_SpatialTranscriptomics_SpatialT_I4_C001_L-44_VA_S7_R1_raw.fastq.gz,GLDS-566_SpatialTranscriptomics_SpatialT_I4_C001_L-44_VA_S7_R2_raw.fastq.gz	Imaging Protocol	GLDS-566_SpatialTranscriptomics_C001_L-44_VA_rep1.tiff	GLDS-566_SpatialTranscriptomics_C001_Slide1.tiff	batch 1	Sequence Analysis Data Transformation - Spatial Transcriptomics	GLDS-566_SpatialTranscriptomics_Skin_Biopsy_Spatially_Resolved_Transcriptomics_Processed_Data.xlsx	GeneLab raw data processing protocol - Spatial Transcriptomics	0.07	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	8175234	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-566_GSpatialTranscriptomics_raw_multiqc_GLSpatialTranscriptomics_report.zip
C001_SKN_L-44_VA_rep2	Cryosection	Nucleic Acid Extraction - Spatial Transcriptomics	Library Construction - Spatial Transcriptomics	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing - Spatial Transcriptomics	Illumin NovaSeq 6000	27	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	spatial transcriptomics	GLDS-566_SpatialTranscriptomics_SpatialT_I4_C001_L-44_VA_S8_R1_raw.fastq.gz,GLDS-566_SpatialTranscriptomics_SpatialT_I4_C001_L-44_VA_S8_R2_raw.fastq.gz	Imaging Protocol	GLDS-566_SpatialTranscriptomics_C001_L-44_VA_rep2.tiff	GLDS-566_SpatialTranscriptomics_C001_Slide1.tiff	batch 1	Sequence Analysis Data Transformation - Spatial Transcriptomics	GLDS-566_SpatialTranscriptomics_Skin_Biopsy_Spatially_Resolved_Transcriptomics_Processed_Data.xlsx	GeneLab raw data processing protocol - Spatial Transcriptomics	0.07	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	3432321	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-566_GSpatialTranscriptomics_raw_multiqc_GLSpatialTranscriptomics_report.zip
C001_SKN_L-44_VA_rep3	Cryosection	Nucleic Acid Extraction - Spatial Transcriptomics	Library Construction - Spatial Transcriptomics	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing - Spatial Transcriptomics	Illumin NovaSeq 6000	27	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	spatial transcriptomics	GLDS-566_SpatialTranscriptomics_SpatialT_I4_C001_L-44_VA_S9_R1_raw.fastq.gz,GLDS-566_SpatialTranscriptomics_SpatialT_I4_C001_L-44_VA_S9_R2_raw.fastq.gz	Imaging Protocol	GLDS-566_SpatialTranscriptomics_C001_L-44_VA_rep3.tiff	GLDS-566_SpatialTranscriptomics_C001_Slide1.tiff	batch 1	Sequence Analysis Data Transformation - Spatial Transcriptomics	GLDS-566_SpatialTranscriptomics_Skin_Biopsy_Spatially_Resolved_Transcriptomics_Processed_Data.xlsx	GeneLab raw data processing protocol - Spatial Transcriptomics	0.07	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	1773282	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-566_GSpatialTranscriptomics_raw_multiqc_GLSpatialTranscriptomics_report.zip
C001_SKN_L-44_OD_rep2	Cryosection	Nucleic Acid Extraction - Spatial Transcriptomics	Library Construction - Spatial Transcriptomics	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing - Spatial Transcriptomics	Illumin NovaSeq 6000	27	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	spatial transcriptomics	GLDS-566_SpatialTranscriptomics_SpatialT_I4_C001_L-44_OD_S10_R1_raw.fastq.gz,GLDS-566_SpatialTranscriptomics_SpatialT_I4_C001_L-44_OD_S10_R2_raw.fastq.gz	Imaging Protocol	GLDS-566_SpatialTranscriptomics_C001_L-44_OD_rep2.tiff	GLDS-566_SpatialTranscriptomics_C001_Slide1.tiff	batch 1	Sequence Analysis Data Transformation - Spatial Transcriptomics	GLDS-566_SpatialTranscriptomics_Skin_Biopsy_Spatially_Resolved_Transcriptomics_Processed_Data.xlsx	GeneLab raw data processing protocol - Spatial Transcriptomics	0.07	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	10544111	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-566_GSpatialTranscriptomics_raw_multiqc_GLSpatialTranscriptomics_report.zip
