Sample Name	Protocol REF	Extract Name	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Stranded]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Base Caller]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Derived Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
367402	Nucleic Acid Extraction	367402	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367402_R1_raw.fastq.gz, GLDS-516_rna-seq_367402_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367402.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367402.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	10247416	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.83	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367403	Nucleic Acid Extraction	367403	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367403_R1_raw.fastq.gz, GLDS-516_rna-seq_367403_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367403.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367403.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	12248016	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.77	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367404	Nucleic Acid Extraction	367404	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367404_R1_raw.fastq.gz, GLDS-516_rna-seq_367404_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367404.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367404.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	11137735	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.68	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367405	Nucleic Acid Extraction	367405	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367405_R1_raw.fastq.gz, GLDS-516_rna-seq_367405_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367405.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367405.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	13603560	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.96	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367406	Nucleic Acid Extraction	367406	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367406_R1_raw.fastq.gz, GLDS-516_rna-seq_367406_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367406.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367406.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	13550957	read	SO	http://purl.obolibrary.org/obo/SO_0000150	6.87	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367407	Nucleic Acid Extraction	367407	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367407_R1_raw.fastq.gz, GLDS-516_rna-seq_367407_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367407.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367407.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	13757254	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.82	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367408	Nucleic Acid Extraction	367408	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367408_R1_raw.fastq.gz, GLDS-516_rna-seq_367408_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367408.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367408.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	14777924	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367409	Nucleic Acid Extraction	367409	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367409_R1_raw.fastq.gz, GLDS-516_rna-seq_367409_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367409.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367409.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	12902019	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.05	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367410	Nucleic Acid Extraction	367410	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367410_R1_raw.fastq.gz, GLDS-516_rna-seq_367410_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367410.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367410.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	14941302	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.9	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
367411	Nucleic Acid Extraction	367411	Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-516_rna-seq_367411_R1_raw.fastq.gz, GLDS-516_rna-seq_367411_R2_raw.fastq.gz	Sequence Analysis Data Transformation	GLDS-516_rna-seq_367411.accepted_hits.merged.markeddups.recal.bam, GLDS-516_rna-seq_367411.accepted_hits.merged.markeddups.recal.bai	GeneLab raw data processing protocol	15117477	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.59	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-516_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
