Sample Name	Protocol REF	Extract Name	Parameter Value[QA Instrument]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Stranded]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
Flight_Col-0_Dark_bio_rep1	Nucleic Acid Extraction	Flight_Col-0_Dark_bio_rep1	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Flight_Col-0_Dark_bio_rep1_R1_raw.fastq.gz,GLDS-612_rna-seq_Flight_Col-0_Dark_bio_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol	58983986	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.09	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Flight_Col-0_Dark_bio_rep2	Nucleic Acid Extraction	Flight_Col-0_Dark_bio_rep2	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Flight_Col-0_Dark_bio_rep2_R1_raw.fastq.gz,GLDS-612_rna-seq_Flight_Col-0_Dark_bio_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol	63648314	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.15	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Flight_Col-0_Dark_bio_rep3	Nucleic Acid Extraction	Flight_Col-0_Dark_bio_rep3	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Flight_Col-0_Dark_bio_rep3_R1_raw.fastq.gz,GLDS-612_rna-seq_Flight_Col-0_Dark_bio_rep3_R2_raw.fastq.gz	GeneLab raw data processing protocol	63416325	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.89	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Flight_Col-0_Light_bio_rep1	Nucleic Acid Extraction	Flight_Col-0_Light_bio_rep1	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Flight_Col-0_Light_bio_rep1_R1_raw.fastq.gz,GLDS-612_rna-seq_Flight_Col-0_Light_bio_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol	61362426	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.84	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Flight_Col-0_Light_bio_rep2	Nucleic Acid Extraction	Flight_Col-0_Light_bio_rep2	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Flight_Col-0_Light_bio_rep2_R1_raw.fastq.gz,GLDS-612_rna-seq_Flight_Col-0_Light_bio_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol	71563095	read	SO	http://purl.obolibrary.org/obo/SO_0000150	3.76	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Flight_Col-0_Light_bio_rep3	Nucleic Acid Extraction	Flight_Col-0_Light_bio_rep3	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Flight_Col-0_Light_bio_rep3_R1_raw.fastq.gz,GLDS-612_rna-seq_Flight_Col-0_Light_bio_rep3_R2_raw.fastq.gz	GeneLab raw data processing protocol	57554449	read	SO	http://purl.obolibrary.org/obo/SO_0000150	3.17	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Flight_phyD_Dark_bio_rep1	Nucleic Acid Extraction	Flight_phyD_Dark_bio_rep1	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Flight_phyD_Dark_bio_rep1_R1_raw.fastq.gz,GLDS-612_rna-seq_Flight_phyD_Dark_bio_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol	66368436	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.21	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Flight_phyD_Dark_bio_rep2	Nucleic Acid Extraction	Flight_phyD_Dark_bio_rep2	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Flight_phyD_Dark_bio_rep2_R1_raw.fastq.gz,GLDS-612_rna-seq_Flight_phyD_Dark_bio_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol	61018342	read	SO	http://purl.obolibrary.org/obo/SO_0000150	4.58	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Flight_phyD_Dark_bio_rep3	Nucleic Acid Extraction	Flight_phyD_Dark_bio_rep3	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Flight_phyD_Dark_bio_rep3_R1_raw.fastq.gz,GLDS-612_rna-seq_Flight_phyD_Dark_bio_rep3_R2_raw.fastq.gz	GeneLab raw data processing protocol	78788665	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.35	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
Flight_phyD_Light_bio_rep1	Nucleic Acid Extraction	Flight_phyD_Light_bio_rep1	Agilent 2100 Bioanalyzer			Library Construction	polyA enrichment	PAIRED	UNSTRANDED	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-612_rna-seq_Flight_phyD_Light_bio_rep1_R1_raw.fastq.gz,GLDS-612_rna-seq_Flight_phyD_Light_bio_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol	56418058	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.89	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-612_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
