Sample Name	Protocol REF	Parameter Value[Sample Type]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Cell Count]	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Library QA Instrument]	Parameter Value[Library QA Assay]	Parameter Value[Average Fragment Size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Library Kit]	Parameter Value[Library Type]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Base Caller]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Processed Data Files]	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
C001_PBMC_L-3	Cell Isolation	single cell	OSD	https://osdr.nasa.gov/	Library Construction - single-cell immune profiling	572		Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	708	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell 5’ Reagent Kits v2	TCR	Nucleic Acid Sequencing - single-cell immune profiling	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNAseq	GLDS-562_scRNA-Seq_scTCR_I4_C001_L-3_R1_raw.fastq.gz,GLDS-562_scRNA-Seq_scTCR_I4_C001_L-3_R2_raw.fastq.gz	Data Analysis - single-cell immune profiling	GLDS-562_scRNA-Seq_VDJ_Results.xlsx	GeneLab raw data processing protocol - single-cell immune profiling	44441400	read	SO	http://purl.obolibrary.org/obo/SO_0000150	12.91	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_scRNA_Seq_raw_multiqc_GLscRNAseq_TCR_report.zip
C001_PBMC_R+1	Cell Isolation	single cell	OSD	https://osdr.nasa.gov/	Library Construction - single-cell immune profiling	18821		Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	703	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell 5’ Reagent Kits v2	TCR	Nucleic Acid Sequencing - single-cell immune profiling	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNAseq	GLDS-562_scRNA-Seq_scTCR_I4_C001_R+1_R1_raw.fastq.gz,GLDS-562_scRNA-Seq_scTCR_I4_C001_R+1_R2_raw.fastq.gz	Data Analysis - single-cell immune profiling	GLDS-562_scRNA-Seq_VDJ_Results.xlsx	GeneLab raw data processing protocol - single-cell immune profiling	56669483	read	SO	http://purl.obolibrary.org/obo/SO_0000150	18.43	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_scRNA_Seq_raw_multiqc_GLscRNAseq_TCR_report.zip
C001_PBMC_R+45	Cell Isolation	single cell	OSD	https://osdr.nasa.gov/	Library Construction - single-cell immune profiling	8059		Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	650	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell 5’ Reagent Kits v2	TCR	Nucleic Acid Sequencing - single-cell immune profiling	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNAseq	GLDS-562_scRNA-Seq_scTCR_I4_C001_R+45_R1_raw.fastq.gz,GLDS-562_scRNA-Seq_scTCR_I4_C001_R+45_R2_raw.fastq.gz	Data Analysis - single-cell immune profiling	GLDS-562_scRNA-Seq_VDJ_Results.xlsx	GeneLab raw data processing protocol - single-cell immune profiling	63924432	read	SO	http://purl.obolibrary.org/obo/SO_0000150	10.31	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_scRNA_Seq_raw_multiqc_GLscRNAseq_TCR_report.zip
C001_PBMC_R+82	Cell Isolation	single cell	OSD	https://osdr.nasa.gov/	Library Construction - single-cell immune profiling	9433		Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	684	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell 5’ Reagent Kits v2	TCR	Nucleic Acid Sequencing - single-cell immune profiling	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNAseq	GLDS-562_scRNA-Seq_scTCR_I4_C001_R+82_R1_raw.fastq.gz,GLDS-562_scRNA-Seq_scTCR_I4_C001_R+82_R2_raw.fastq.gz	Data Analysis - single-cell immune profiling	GLDS-562_scRNA-Seq_VDJ_Results.xlsx	GeneLab raw data processing protocol - single-cell immune profiling	111987650	read	SO	http://purl.obolibrary.org/obo/SO_0000150	20.22	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_scRNA_Seq_raw_multiqc_GLscRNAseq_TCR_report.zip
C002_PBMC_L-3	Cell Isolation	single cell	OSD	https://osdr.nasa.gov/	Library Construction - single-cell immune profiling	394		Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	827	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell 5’ Reagent Kits v2	TCR	Nucleic Acid Sequencing - single-cell immune profiling	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNAseq	GLDS-562_scRNA-Seq_scTCR_I4_C002_L-3_R1_raw.fastq.gz,GLDS-562_scRNA-Seq_scTCR_I4_C002_L-3_R2_raw.fastq.gz	Data Analysis - single-cell immune profiling	GLDS-562_scRNA-Seq_VDJ_Results.xlsx	GeneLab raw data processing protocol - single-cell immune profiling	56945791	read	SO	http://purl.obolibrary.org/obo/SO_0000150	21.59	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_scRNA_Seq_raw_multiqc_GLscRNAseq_TCR_report.zip
C002_PBMC_R+1	Cell Isolation	single cell	OSD	https://osdr.nasa.gov/	Library Construction - single-cell immune profiling	16150		Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	690	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell 5’ Reagent Kits v2	TCR	Nucleic Acid Sequencing - single-cell immune profiling	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNAseq	GLDS-562_scRNA-Seq_scTCR_I4_C002_R+1_R1_raw.fastq.gz,GLDS-562_scRNA-Seq_scTCR_I4_C002_R+1_R2_raw.fastq.gz	Data Analysis - single-cell immune profiling	GLDS-562_scRNA-Seq_VDJ_Results.xlsx	GeneLab raw data processing protocol - single-cell immune profiling	53284406	read	SO	http://purl.obolibrary.org/obo/SO_0000150	19.9	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_scRNA_Seq_raw_multiqc_GLscRNAseq_TCR_report.zip
C002_PBMC_R+45	Cell Isolation	single cell	OSD	https://osdr.nasa.gov/	Library Construction - single-cell immune profiling	10165		Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	642	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell 5’ Reagent Kits v2	TCR	Nucleic Acid Sequencing - single-cell immune profiling	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNAseq	GLDS-562_scRNA-Seq_scTCR_I4_C002_R+45_R1_raw.fastq.gz,GLDS-562_scRNA-Seq_scTCR_I4_C002_R+45_R2_raw.fastq.gz	Data Analysis - single-cell immune profiling	GLDS-562_scRNA-Seq_VDJ_Results.xlsx	GeneLab raw data processing protocol - single-cell immune profiling	57030483	read	SO	http://purl.obolibrary.org/obo/SO_0000150	16.98	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_scRNA_Seq_raw_multiqc_GLscRNAseq_TCR_report.zip
C002_PBMC_R+82	Cell Isolation	single cell	OSD	https://osdr.nasa.gov/	Library Construction - single-cell immune profiling	7970		Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	703	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell 5’ Reagent Kits v2	TCR	Nucleic Acid Sequencing - single-cell immune profiling	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNAseq	GLDS-562_scRNA-Seq_scTCR_I4_C002_R+82_R1_raw.fastq.gz,GLDS-562_scRNA-Seq_scTCR_I4_C002_R+82_R2_raw.fastq.gz	Data Analysis - single-cell immune profiling	GLDS-562_scRNA-Seq_VDJ_Results.xlsx	GeneLab raw data processing protocol - single-cell immune profiling	87560279	read	SO	http://purl.obolibrary.org/obo/SO_0000150	19.32	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_scRNA_Seq_raw_multiqc_GLscRNAseq_TCR_report.zip
C003_PBMC_L-3	Cell Isolation	single cell	OSD	https://osdr.nasa.gov/	Library Construction - single-cell immune profiling	40		Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	730	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell 5’ Reagent Kits v2	TCR	Nucleic Acid Sequencing - single-cell immune profiling	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNAseq	GLDS-562_scRNA-Seq_scTCR_I4_C003_L-3_R1_raw.fastq.gz,GLDS-562_scRNA-Seq_scTCR_I4_C003_L-3_R2_raw.fastq.gz	Data Analysis - single-cell immune profiling	GLDS-562_scRNA-Seq_VDJ_Results.xlsx	GeneLab raw data processing protocol - single-cell immune profiling	49167595	read	SO	http://purl.obolibrary.org/obo/SO_0000150	21.57	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_scRNA_Seq_raw_multiqc_GLscRNAseq_TCR_report.zip
C003_PBMC_R+1	Cell Isolation	single cell	OSD	https://osdr.nasa.gov/	Library Construction - single-cell immune profiling	15849		Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	698	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell 5’ Reagent Kits v2	TCR	Nucleic Acid Sequencing - single-cell immune profiling	Illumina NovaSeq 6000	bcl2fastq	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	scRNAseq	GLDS-562_scRNA-Seq_scTCR_I4_C003_R+1_R1_raw.fastq.gz,GLDS-562_scRNA-Seq_scTCR_I4_C003_R+1_R2_raw.fastq.gz	Data Analysis - single-cell immune profiling	GLDS-562_scRNA-Seq_VDJ_Results.xlsx	GeneLab raw data processing protocol - single-cell immune profiling	52151904	read	SO	http://purl.obolibrary.org/obo/SO_0000150	20.69	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_scRNA_Seq_raw_multiqc_GLscRNAseq_TCR_report.zip
