Sample Name	Protocol REF	Extract Name	Parameter Value[QA Instrument]	Parameter Value[QA Score]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Stranded]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]	Protocol REF	Parameter Value[trimmed sequence data]	Parameter Value[Trimmed Sequence Data/Multiqc Reports]	Parameter Value[Trimmed Sequence Data/Trimming Reports]	Parameter Value[aligned sequence data]	Parameter Value[Aligned Sequence Data/Alignment Logs]	Parameter Value[Aligned Sequence Data/MultiQC Reports]	Parameter Value[RSeQC/MultiQC Reports]	Parameter Value[Raw Counts Data]	Parameter Value[Raw Counts Data/Multiqc Reports]	Parameter Value[Raw Counts Tables]	Parameter Value[Normalized Counts Data]	Parameter Value[differential expression analysis data]
1	Nucleic Acid Extraction	1	Agilent TapeStation	greater than 7	RINe	OSD	https://osdr.nasa.gov/	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq1000	75	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-567_rna-seq_Adrenal_32_S12_L001_R1_001.fastq.gz, GLDS-567_rna-seq_Adrenal_32_S12_L001_R2_001.fastq.gz	GeneLab raw data processing protocol	43435087	read	SO	http://purl.obolibrary.org/obo/SO_0000150	4.56	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-567_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-567_rna_seq_1_R1_trimmed.fastq.gz,GLDS-567_rna_seq_1_R2_trimmed.fastq.gz	GLDS-567_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_1_R1_raw.fastq.gz_trimming_report.txt,GLDS-567_rna_seq_1_R2_raw.fastq.gz_trimming_report.txt	GLDS-567_rna_seq_1_Aligned.sortedByCoord_sorted.out.bam,GLDS-567_rna_seq_1_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-567_rna_seq_1_Aligned.toTranscriptome.out.bam,GLDS-567_rna_seq_1_SJ.out.tab	GLDS-567_rna_seq_1_Log.final.out	GLDS-567_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_1.genes.results,GLDS-567_rna_seq_1.isoforms.results	GLDS-567_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-567_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-567_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-567_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-567_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-567_rna_seq_differential_expression_GLbulkRNAseq.csv
2	Nucleic Acid Extraction	2	Agilent TapeStation	greater than 7	RINe	OSD	https://osdr.nasa.gov/	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq1000	75	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-567_rna-seq_Adrenal_36_S5_L001_R1_001.fastq.gz, GLDS-567_rna-seq_Adrenal_36_S5_L001_R2_001.fastq.gz	GeneLab raw data processing protocol	47480169	read	SO	http://purl.obolibrary.org/obo/SO_0000150	5.47	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-567_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-567_rna_seq_2_R1_trimmed.fastq.gz,GLDS-567_rna_seq_2_R2_trimmed.fastq.gz	GLDS-567_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_2_R1_raw.fastq.gz_trimming_report.txt,GLDS-567_rna_seq_2_R2_raw.fastq.gz_trimming_report.txt	GLDS-567_rna_seq_2_Aligned.sortedByCoord_sorted.out.bam,GLDS-567_rna_seq_2_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-567_rna_seq_2_Aligned.toTranscriptome.out.bam,GLDS-567_rna_seq_2_SJ.out.tab	GLDS-567_rna_seq_2_Log.final.out	GLDS-567_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_2.genes.results,GLDS-567_rna_seq_2.isoforms.results	GLDS-567_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-567_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-567_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-567_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-567_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-567_rna_seq_differential_expression_GLbulkRNAseq.csv
3	Nucleic Acid Extraction	3	Agilent TapeStation	greater than 7	RINe	OSD	https://osdr.nasa.gov/	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq1000	75	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-567_rna-seq_Adrenal_48_S6_L001_R1_001.fastq.gz, GLDS-567_rna-seq_Adrenal_48_S6_L001_R2_001.fastq.gz	GeneLab raw data processing protocol	26965510	read	SO	http://purl.obolibrary.org/obo/SO_0000150	5.66	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-567_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-567_rna_seq_3_R1_trimmed.fastq.gz,GLDS-567_rna_seq_3_R2_trimmed.fastq.gz	GLDS-567_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_3_R1_raw.fastq.gz_trimming_report.txt,GLDS-567_rna_seq_3_R2_raw.fastq.gz_trimming_report.txt	GLDS-567_rna_seq_3_Aligned.sortedByCoord_sorted.out.bam,GLDS-567_rna_seq_3_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-567_rna_seq_3_Aligned.toTranscriptome.out.bam,GLDS-567_rna_seq_3_SJ.out.tab	GLDS-567_rna_seq_3_Log.final.out	GLDS-567_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_3.genes.results,GLDS-567_rna_seq_3.isoforms.results	GLDS-567_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-567_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-567_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-567_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-567_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-567_rna_seq_differential_expression_GLbulkRNAseq.csv
4	Nucleic Acid Extraction	4	Agilent TapeStation	greater than 7	RINe	OSD	https://osdr.nasa.gov/	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq1000	75	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-567_rna-seq_Adrenal_42_S3_L001_R1_001.fastq.gz, GLDS-567_rna-seq_Adrenal_42_S3_L001_R2_001.fastq.gz	GeneLab raw data processing protocol	15866779	read	SO	http://purl.obolibrary.org/obo/SO_0000150	4.02	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-567_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-567_rna_seq_4_R1_trimmed.fastq.gz,GLDS-567_rna_seq_4_R2_trimmed.fastq.gz	GLDS-567_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_4_R1_raw.fastq.gz_trimming_report.txt,GLDS-567_rna_seq_4_R2_raw.fastq.gz_trimming_report.txt	GLDS-567_rna_seq_4_Aligned.sortedByCoord_sorted.out.bam,GLDS-567_rna_seq_4_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-567_rna_seq_4_Aligned.toTranscriptome.out.bam,GLDS-567_rna_seq_4_SJ.out.tab	GLDS-567_rna_seq_4_Log.final.out	GLDS-567_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_4.genes.results,GLDS-567_rna_seq_4.isoforms.results	GLDS-567_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-567_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-567_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-567_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-567_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-567_rna_seq_differential_expression_GLbulkRNAseq.csv
5	Nucleic Acid Extraction	5	Agilent TapeStation	greater than 7	RINe	OSD	https://osdr.nasa.gov/	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq1000	75	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-567_rna-seq_Adrenal_29_S13_L001_R1_001.fastq.gz, GLDS-567_rna-seq_Adrenal_29_S13_L001_R2_001.fastq.gz	GeneLab raw data processing protocol	36973469	read	SO	http://purl.obolibrary.org/obo/SO_0000150	5.9	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-567_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-567_rna_seq_5_R1_trimmed.fastq.gz,GLDS-567_rna_seq_5_R2_trimmed.fastq.gz	GLDS-567_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_5_R1_raw.fastq.gz_trimming_report.txt,GLDS-567_rna_seq_5_R2_raw.fastq.gz_trimming_report.txt	GLDS-567_rna_seq_5_Aligned.sortedByCoord_sorted.out.bam,GLDS-567_rna_seq_5_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-567_rna_seq_5_Aligned.toTranscriptome.out.bam,GLDS-567_rna_seq_5_SJ.out.tab	GLDS-567_rna_seq_5_Log.final.out	GLDS-567_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_5.genes.results,GLDS-567_rna_seq_5.isoforms.results	GLDS-567_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-567_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-567_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-567_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-567_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-567_rna_seq_differential_expression_GLbulkRNAseq.csv
6	Nucleic Acid Extraction	6	Agilent TapeStation	greater than 7	RINe	OSD	https://osdr.nasa.gov/	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq1000	75	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-567_rna-seq_Adrenal_33_S1_L001_R1_001.fastq.gz, GLDS-567_rna-seq_Adrenal_33_S1_L001_R2_001.fastq.gz	GeneLab raw data processing protocol	13305061	read	SO	http://purl.obolibrary.org/obo/SO_0000150	5.04	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-567_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-567_rna_seq_6_R1_trimmed.fastq.gz,GLDS-567_rna_seq_6_R2_trimmed.fastq.gz	GLDS-567_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_6_R1_raw.fastq.gz_trimming_report.txt,GLDS-567_rna_seq_6_R2_raw.fastq.gz_trimming_report.txt	GLDS-567_rna_seq_6_Aligned.sortedByCoord_sorted.out.bam,GLDS-567_rna_seq_6_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-567_rna_seq_6_Aligned.toTranscriptome.out.bam,GLDS-567_rna_seq_6_SJ.out.tab	GLDS-567_rna_seq_6_Log.final.out	GLDS-567_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_6.genes.results,GLDS-567_rna_seq_6.isoforms.results	GLDS-567_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-567_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-567_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-567_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-567_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-567_rna_seq_differential_expression_GLbulkRNAseq.csv
7	Nucleic Acid Extraction	7	Agilent TapeStation	greater than 7	RINe	OSD	https://osdr.nasa.gov/	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq1000	75	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-567_rna-seq_Adrenal_45_S4_L001_R1_001.fastq.gz, GLDS-567_rna-seq_Adrenal_45_S4_L001_R2_001.fastq.gz	GeneLab raw data processing protocol	24647748	read	SO	http://purl.obolibrary.org/obo/SO_0000150	5.22	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-567_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-567_rna_seq_7_R1_trimmed.fastq.gz,GLDS-567_rna_seq_7_R2_trimmed.fastq.gz	GLDS-567_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_7_R1_raw.fastq.gz_trimming_report.txt,GLDS-567_rna_seq_7_R2_raw.fastq.gz_trimming_report.txt	GLDS-567_rna_seq_7_Aligned.sortedByCoord_sorted.out.bam,GLDS-567_rna_seq_7_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-567_rna_seq_7_Aligned.toTranscriptome.out.bam,GLDS-567_rna_seq_7_SJ.out.tab	GLDS-567_rna_seq_7_Log.final.out	GLDS-567_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_7.genes.results,GLDS-567_rna_seq_7.isoforms.results	GLDS-567_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-567_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-567_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-567_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-567_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-567_rna_seq_differential_expression_GLbulkRNAseq.csv
8	Nucleic Acid Extraction	8	Agilent TapeStation	greater than 7	RINe	OSD	https://osdr.nasa.gov/	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq1000	75	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-567_rna-seq_Adrenal_65_S11_L001_R1_001.fastq.gz, GLDS-567_rna-seq_Adrenal_65_S11_L001_R2_001.fastq.gz	GeneLab raw data processing protocol	28749080	read	SO	http://purl.obolibrary.org/obo/SO_0000150	4.81	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-567_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-567_rna_seq_8_R1_trimmed.fastq.gz,GLDS-567_rna_seq_8_R2_trimmed.fastq.gz	GLDS-567_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_8_R1_raw.fastq.gz_trimming_report.txt,GLDS-567_rna_seq_8_R2_raw.fastq.gz_trimming_report.txt	GLDS-567_rna_seq_8_Aligned.sortedByCoord_sorted.out.bam,GLDS-567_rna_seq_8_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-567_rna_seq_8_Aligned.toTranscriptome.out.bam,GLDS-567_rna_seq_8_SJ.out.tab	GLDS-567_rna_seq_8_Log.final.out	GLDS-567_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_8.genes.results,GLDS-567_rna_seq_8.isoforms.results	GLDS-567_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-567_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-567_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-567_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-567_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-567_rna_seq_differential_expression_GLbulkRNAseq.csv
9	Nucleic Acid Extraction	9	Agilent TapeStation	greater than 7	RINe	OSD	https://osdr.nasa.gov/	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq1000	75	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-567_rna-seq_Adrenal_73_S9_L001_R1_001.fastq.gz, GLDS-567_rna-seq_Adrenal_73_S9_L001_R2_001.fastq.gz	GeneLab raw data processing protocol	39247288	read	SO	http://purl.obolibrary.org/obo/SO_0000150	4.31	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-567_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-567_rna_seq_9_R1_trimmed.fastq.gz,GLDS-567_rna_seq_9_R2_trimmed.fastq.gz	GLDS-567_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_9_R1_raw.fastq.gz_trimming_report.txt,GLDS-567_rna_seq_9_R2_raw.fastq.gz_trimming_report.txt	GLDS-567_rna_seq_9_Aligned.sortedByCoord_sorted.out.bam,GLDS-567_rna_seq_9_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-567_rna_seq_9_Aligned.toTranscriptome.out.bam,GLDS-567_rna_seq_9_SJ.out.tab	GLDS-567_rna_seq_9_Log.final.out	GLDS-567_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_9.genes.results,GLDS-567_rna_seq_9.isoforms.results	GLDS-567_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-567_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-567_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-567_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-567_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-567_rna_seq_differential_expression_GLbulkRNAseq.csv
13	Nucleic Acid Extraction	13	Agilent TapeStation	greater than 7	RINe	OSD	https://osdr.nasa.gov/	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq1000	74	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-567_rna-seq_A56_S13_L001_R1_001.fastq.gz, GLDS-567_rna-seq_A56_S13_L001_R2_001.fastq.gz	GeneLab raw data processing protocol	27477082	read	SO	http://purl.obolibrary.org/obo/SO_0000150	9.63	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-567_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip	GeneLab RNAseq data processing protocol	GLDS-567_rna_seq_13_R1_trimmed.fastq.gz,GLDS-567_rna_seq_13_R2_trimmed.fastq.gz	GLDS-567_rna_seq_trimmed_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_13_R1_raw.fastq.gz_trimming_report.txt,GLDS-567_rna_seq_13_R2_raw.fastq.gz_trimming_report.txt	GLDS-567_rna_seq_13_Aligned.sortedByCoord_sorted.out.bam,GLDS-567_rna_seq_13_Aligned.sortedByCoord_sorted.out.bam.bai,GLDS-567_rna_seq_13_Aligned.toTranscriptome.out.bam,GLDS-567_rna_seq_13_SJ.out.tab	GLDS-567_rna_seq_13_Log.final.out	GLDS-567_rna_seq_align_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_geneBody_cov_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_infer_exp_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_inner_dist_multiqc_GLbulkRNAseq_report.zip,GLDS-567_rna_seq_read_dist_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_13.genes.results,GLDS-567_rna_seq_13.isoforms.results	GLDS-567_rna_seq_RSEM_count_multiqc_GLbulkRNAseq_report.zip	GLDS-567_rna_seq_RSEM_Unnormalized_Counts_GLbulkRNAseq.csv,GLDS-567_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv	GLDS-567_rna_seq_Normalized_Counts_GLbulkRNAseq.csv	GLDS-567_rna_seq_SampleTable_GLbulkRNAseq.csv,GLDS-567_rna_seq_contrasts_GLbulkRNAseq.csv,GLDS-567_rna_seq_differential_expression_GLbulkRNAseq.csv
