Sample Name	Protocol REF	Extract Name	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Stranded]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
C001_plasma_L-3_cfRNA	Nucleic Acid Extraction - cfRNA sequencing	C001_plasma_L-3_cfRNA	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C001_L-3_rep1_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C001_L-3_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	25211600	read	SO	http://purl.obolibrary.org/obo/SO_0000150	41.94	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C001_plasma_L-44_cfRNA_rep1	Nucleic Acid Extraction - cfRNA sequencing	C001_plasma_L-44_cfRNA_rep1	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C001_L-44_rep1_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C001_L-44_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	24286919	read	SO	http://purl.obolibrary.org/obo/SO_0000150	3.12	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C001_plasma_L-44_cfRNA_rep2	Nucleic Acid Extraction - cfRNA sequencing	C001_plasma_L-44_cfRNA_rep2	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C001_L-44_rep2_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C001_L-44_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	23901441	read	SO	http://purl.obolibrary.org/obo/SO_0000150	6.57	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C001_plasma_L-92_cfRNA_rep1	Nucleic Acid Extraction - cfRNA sequencing	C001_plasma_L-92_cfRNA_rep1	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C001_L-92_rep1_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C001_L-92_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	23796057	read	SO	http://purl.obolibrary.org/obo/SO_0000150	27.05	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C001_plasma_L-92_cfRNA_rep2	Nucleic Acid Extraction - cfRNA sequencing	C001_plasma_L-92_cfRNA_rep2	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C001_L-92_rep2_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C001_L-92_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	25460015	read	SO	http://purl.obolibrary.org/obo/SO_0000150	32.35	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C001_plasma_R+1_cfRNA_rep1	Nucleic Acid Extraction - cfRNA sequencing	C001_plasma_R+1_cfRNA_rep1	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C001_R+1_rep1_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C001_R+1_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	24292738	read	SO	http://purl.obolibrary.org/obo/SO_0000150	9.06	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C001_plasma_R+1_cfRNA_rep2	Nucleic Acid Extraction - cfRNA sequencing	C001_plasma_R+1_cfRNA_rep2	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C001_R+1_rep2_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C001_R+1_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	26176389	read	SO	http://purl.obolibrary.org/obo/SO_0000150	9.52	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C001_plasma_R+194_cfRNA_rep1	Nucleic Acid Extraction - cfRNA sequencing	C001_plasma_R+194_cfRNA_rep1	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C001_R+194_rep1_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C001_R+194_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	27490374	read	SO	http://purl.obolibrary.org/obo/SO_0000150	6.93	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C001_plasma_R+194_cfRNA_rep2	Nucleic Acid Extraction - cfRNA sequencing	C001_plasma_R+194_cfRNA_rep2	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C001_R+194_rep2_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C001_R+194_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	23259398	read	SO	http://purl.obolibrary.org/obo/SO_0000150	4.53	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
C001_plasma_R+45_cfRNA_rep1	Nucleic Acid Extraction - cfRNA sequencing	C001_plasma_R+45_cfRNA_rep1	Library Construction - cfRNA sequencing	cfRNA	PAIRED	STRANDED	Nucleic Acid Sequencing - cfRNA sequencing	Illumina NextSeq 2K	61	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	GLDS-563_rna-seq_cfRNA_I4_C001_R+45_rep1_R1_raw.fastq.gz,GLDS-563_rna-seq_cfRNA_I4_C001_R+45_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfRNA sequencing	27769923	read	SO	http://purl.obolibrary.org/obo/SO_0000150	4.91	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-563_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
