Sample Name	Protocol REF	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Stranded]	Parameter Value[Library QA Instrument]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Base Caller]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Human Reads Removed]	Unit	Term Source REF	Term Accession Number	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[MultiQC File Names]
C001_Swab_FD2_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C001_FD2_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C001_FD2_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	1.16	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	28798627	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C001_Swab_FD3_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C001_FD3_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C001_FD3_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	4.22	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	30994532	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C001_Swab_L-3_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C001_L-3_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	1.75	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	30719790	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C001_Swab_L-44_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C001_L-44_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C001_L-44_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	15	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	20363026	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C001_Swab_L-92_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C001_L-92_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C001_L-92_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	2.05	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	29184042	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C001_Swab_R+1_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C001_R+1_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C001_R+1_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	17.42	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	22877410	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C001_Swab_R+45_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C001_R+45_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C001_R+45_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	1.6	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	45008375	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C001_Swab_R+82_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C001_R+82_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C001_R+82_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	7.33	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	29728496	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C002_Swab_FD2_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C002_FD2_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C002_FD2_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	57.89	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	13285431	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
C002_Swab_FD3_ORC	Nucleic Acid Extraction	Library Construction - metatranscriptomics	ribo-depletion	PAIRED	STRANDED	LabChip GX Touch HT Nucleic Acid Analyzer	Nucleic Acid Sequencing - metatranscriptomics	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metatranscriptomics	"GLDS-564_metatranscriptomics_metaT_I4_C002_FD3_ORC_R1_HRremoved_raw.fastq.gz,GLDS-564_metatranscriptomics_metaT_I4_C002_FD3_ORC_R2_HRremoved_raw.fastq.gz"	human read contaminant filtering	66.26	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	11952139	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GeneLab raw data processing protocol - metatranscriptomics	GLDS-564_GMetatranscriptomics_raw_multiqc_GLmetatranscriptomics_report.zip
