Sample Name	Protocol REF	Parameter Value[QA Instrument]	Extract Name	Parameter Value[QA Score]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Stranded]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
10	Nucleic Acid Extraction	Agilent TapeStation	10	greater than 7	RINe	OSD	https://osdr.nasa.gov/	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq1000	75	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-641_rna-seq_D32_S9_L001_R1_raw.fastq.gz, GLDS-641_rna-seq_D32_S9_L001_R2_raw.fastq.gz	GeneLab raw data processing protocol	26055298	read	SO	http://purl.obolibrary.org/obo/SO_0000150	13.35	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-641_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
11	Nucleic Acid Extraction	Agilent TapeStation	11	greater than 7	RINe	OSD	https://osdr.nasa.gov/	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq1000	75	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-641_rna-seq_D36_S10_L001_R1_raw.fastq.gz, GLDS-641_rna-seq_D36_S10_L001_R2_raw.fastq.gz	GeneLab raw data processing protocol	26528617	read	SO	http://purl.obolibrary.org/obo/SO_0000150	17.32	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-641_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
12	Nucleic Acid Extraction	Agilent TapeStation	12	greater than 7	RINe	OSD	https://osdr.nasa.gov/	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq1000	75	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-641_rna-seq_D48_S6_L001_R1_raw.fastq.gz, GLDS-641_rna-seq_D48_S6_L001_R2_raw.fastq.gz	GeneLab raw data processing protocol	25288154	read	SO	http://purl.obolibrary.org/obo/SO_0000150	8.78	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-641_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
15	Nucleic Acid Extraction	Agilent TapeStation	15	greater than 7	RINe	OSD	https://osdr.nasa.gov/	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq1000	75	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-641_rna-seq_D42_S2_L001_R1_raw.fastq.gz, GLDS-641_rna-seq_D42_S2_L001_R2_raw.fastq.gz	GeneLab raw data processing protocol	32458366	read	SO	http://purl.obolibrary.org/obo/SO_0000150	32.55	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-641_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
16	Nucleic Acid Extraction	Agilent TapeStation	16	greater than 7	RINe	OSD	https://osdr.nasa.gov/	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq1000	75	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-641_rna-seq_D29_S11_L001_R1_raw.fastq.gz, GLDS-641_rna-seq_D29_S11_L001_R2_raw.fastq.gz	GeneLab raw data processing protocol	37513029	read	SO	http://purl.obolibrary.org/obo/SO_0000150	61.45	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-641_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
17	Nucleic Acid Extraction	Agilent TapeStation	17	greater than 7	RINe	OSD	https://osdr.nasa.gov/	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq1000	75	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-641_rna-seq_D33_S7_L001_R1_raw.fastq.gz, GLDS-641_rna-seq_D33_S7_L001_R2_raw.fastq.gz	GeneLab raw data processing protocol	28863643	read	SO	http://purl.obolibrary.org/obo/SO_0000150	23.38	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-641_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
18	Nucleic Acid Extraction	Agilent TapeStation	18	greater than 7	RINe	OSD	https://osdr.nasa.gov/	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq1000	75	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-641_rna-seq_D45_S8_L001_R1_raw.fastq.gz, GLDS-641_rna-seq_D45_S8_L001_R2_raw.fastq.gz	GeneLab raw data processing protocol	26335397	read	SO	http://purl.obolibrary.org/obo/SO_0000150	11.35	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-641_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
19	Nucleic Acid Extraction	Agilent TapeStation	19	greater than 7	RINe	OSD	https://osdr.nasa.gov/	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq1000	75	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-641_rna-seq_D65_S5_L001_R1_raw.fastq.gz, GLDS-641_rna-seq_D65_S5_L001_R2_raw.fastq.gz	GeneLab raw data processing protocol	40409724	read	SO	http://purl.obolibrary.org/obo/SO_0000150	82.15	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-641_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
20	Nucleic Acid Extraction	Agilent TapeStation	20	greater than 7	RINe	OSD	https://osdr.nasa.gov/	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq1000	75	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-641_rna-seq_D73_S1_L001_R1_raw.fastq.gz, GLDS-641_rna-seq_D73_S1_L001_R2_raw.fastq.gz	GeneLab raw data processing protocol	24807915	read	SO	http://purl.obolibrary.org/obo/SO_0000150	13.45	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-641_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
22	Nucleic Acid Extraction	Agilent TapeStation	22	greater than 7	RINe	OSD	https://osdr.nasa.gov/	Library Construction	ribo-depletion	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq1000	75	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	RNA-Seq	GLDS-641_rna-seq_D56_S3_L001_R1_raw.fastq.gz, GLDS-641_rna-seq_D56_S3_L001_R2_raw.fastq.gz	GeneLab raw data processing protocol	29769577	read	SO	http://purl.obolibrary.org/obo/SO_0000150	22.69	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-641_rna_seq_raw_multiqc_GLbulkRNAseq_report.zip
