Sample Name	Protocol REF	Protocol REF	Parameter Value[Sample Type]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Nucleus Count]	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Library QA Instrument]	Parameter Value[Library QA Assay]	Parameter Value[Average Library Size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Library Kit]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Base Caller]	Parameter Value[R1 Read Length]	Unit	Term Source REF	Term Accession Number	Parameter Value[R2 Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Processed Data Files]	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
C001_PBMC_L-92	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	11776	polyA enrichment	Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	464	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snRNA sequencing	Illumina NovaSeq 6000	bcl2fastq	28	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	90	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snRNA-Seq	GLDS-562_snRNA-Seq_snGEX_I4_C001_L-92_R1_raw.fastq.gz,GLDS-562_snRNA-Seq_snGEX_I4_C001_L-92_R2_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx	GeneLab raw data processing protocol - snRNA/snATAC sequencing	638575194	read	SO	http://purl.obolibrary.org/obo/SO_0000150	6.17	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C001_PBMC_L-44	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	16990	polyA enrichment	Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	440	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snRNA sequencing	Illumina NovaSeq 6000	bcl2fastq	28	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	90	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snRNA-Seq	GLDS-562_snRNA-Seq_snGEX_I4_C001_L-44_R1_raw.fastq.gz,GLDS-562_snRNA-Seq_snGEX_I4_C001_L-44_R2_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx	GeneLab raw data processing protocol - snRNA/snATAC sequencing	371825892	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.05	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C001_PBMC_L-3	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	1335	polyA enrichment	Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	487	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snRNA sequencing	Illumina NovaSeq 6000	bcl2fastq	28	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	90	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snRNA-Seq	GLDS-562_snRNA-Seq_snGEX_I4_C001_L-3_R1_raw.fastq.gz,GLDS-562_snRNA-Seq_snGEX_I4_C001_L-3_R2_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx	GeneLab raw data processing protocol - snRNA/snATAC sequencing	282420820	read	SO	http://purl.obolibrary.org/obo/SO_0000150	8.6	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C001_PBMC_R+1	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	1255	polyA enrichment	Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	460	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snRNA sequencing	Illumina NovaSeq 6000	bcl2fastq	28	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	90	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snRNA-Seq	GLDS-562_snRNA-Seq_snGEX_I4_C001_R+1_R1_raw.fastq.gz,GLDS-562_snRNA-Seq_snGEX_I4_C001_R+1_R2_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx	GeneLab raw data processing protocol - snRNA/snATAC sequencing	208015191	read	SO	http://purl.obolibrary.org/obo/SO_0000150	5.82	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C001_PBMC_R+45	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	420	polyA enrichment	Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	540	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snRNA sequencing	Illumina NovaSeq 6000	bcl2fastq	28	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	90	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snRNA-Seq	GLDS-562_snRNA-Seq_snGEX_I4_C001_R+45_R1_raw.fastq.gz,GLDS-562_snRNA-Seq_snGEX_I4_C001_R+45_R2_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx	GeneLab raw data processing protocol - snRNA/snATAC sequencing	282529840	read	SO	http://purl.obolibrary.org/obo/SO_0000150	1.66	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C001_PBMC_R+82	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	10055	polyA enrichment	Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	560	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snRNA sequencing	Illumina NovaSeq 6000	bcl2fastq	28	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	90	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snRNA-Seq	GLDS-562_snRNA-Seq_snGEX_I4_C001_R+82_R1_raw.fastq.gz,GLDS-562_snRNA-Seq_snGEX_I4_C001_R+82_R2_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx	GeneLab raw data processing protocol - snRNA/snATAC sequencing	243987826	read	SO	http://purl.obolibrary.org/obo/SO_0000150	3.92	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C002_PBMC_L-92	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	5673	polyA enrichment	Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	471	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snRNA sequencing	Illumina NovaSeq 6000	bcl2fastq	28	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	90	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snRNA-Seq	GLDS-562_snRNA-Seq_snGEX_I4_C002_L-92_R1_raw.fastq.gz,GLDS-562_snRNA-Seq_snGEX_I4_C002_L-92_R2_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx	GeneLab raw data processing protocol - snRNA/snATAC sequencing	821856397	read	SO	http://purl.obolibrary.org/obo/SO_0000150	5.87	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C002_PBMC_L-44	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	17699	polyA enrichment	Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	450	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snRNA sequencing	Illumina NovaSeq 6000	bcl2fastq	28	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	90	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snRNA-Seq	GLDS-562_snRNA-Seq_snGEX_I4_C002_L-44_R1_raw.fastq.gz,GLDS-562_snRNA-Seq_snGEX_I4_C002_L-44_R2_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx	GeneLab raw data processing protocol - snRNA/snATAC sequencing	272241531	read	SO	http://purl.obolibrary.org/obo/SO_0000150	2.12	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C002_PBMC_L-3	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	1340	polyA enrichment	Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	490	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snRNA sequencing	Illumina NovaSeq 6000	bcl2fastq	28	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	90	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snRNA-Seq	GLDS-562_snRNA-Seq_snGEX_I4_C002_L-3_R1_raw.fastq.gz,GLDS-562_snRNA-Seq_snGEX_I4_C002_L-3_R2_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx	GeneLab raw data processing protocol - snRNA/snATAC sequencing	284129967	read	SO	http://purl.obolibrary.org/obo/SO_0000150	8.85	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
C002_PBMC_R+1	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	1495	polyA enrichment	Paired	Agilent TapeStation	High Sensitivity D5000 Screentape	497	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snRNA sequencing	Illumina NovaSeq 6000	bcl2fastq	28	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	90	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snRNA-Seq	GLDS-562_snRNA-Seq_snGEX_I4_C002_R+1_R1_raw.fastq.gz,GLDS-562_snRNA-Seq_snGEX_I4_C002_R+1_R2_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snRNA-Seq_PBMC_Gene_Expression_snRNA-seq_Processed_Data.xlsx	GeneLab raw data processing protocol - snRNA/snATAC sequencing	214389120	read	SO	http://purl.obolibrary.org/obo/SO_0000150	7.41	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GLDS-562_GsnRNA-Seq_raw_multiqc_GLsnRNAseq_report.zip
